ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT,O U P
401,1/2020,1,2,9,55,82,1200,41,600,14,8400,41
401,5/2019,5,1,16,79,42.1,600,42.1,600,14,8400,0
402,2/2020,2,2,5,12,168,2436,168,2436,15.5,37758,0
403,1/2020,1,2,7,37,30.5,450,30.5,450,13.72,6174,0
403,2/2020,2,2,5,12,209,3000,209,3000,15.5,46500,0
403,3/2020,3,2,7,37,10,150,10,150,13.72,2058,0
403,8/2020,8,2,9,58,54,750,54,750,13.72,10290,0
403,9/2020,9,2,7,37,64,900,64,900,14.72,13248,0
403,10/2020,10,2,7,22,57,750,57,750,15,11250,0
403,11/2020,11,2,7,37,279,3900,279,3900,13.72,53508,0
403,8/2021,8,3,5,12,101,1350,101,1350,18,24300,0
403,9/2021,9,3,7,37,50,600,50,600,16.8,10080,0
403,5/2019,5,1,14,75,217,3000,108.5,1500,15.2,22800,108.5
403,3/2023,3,5,5,12,108,1320,108,1320,20.38,26901.6,0
403,6/2019,6,1,7,37,,,108.5,1500,13.72,20580,-108.5
403,7/2019,7,1,7,37,,,11,150,13.72,2058,-11
403,9/2019,9,1,7,37,,,33,450,14.72,6624,-33
404,12/2020,12,2,17,82,14.5,210,14.5,210,20,4200,0
404,2/2021,2,3,7,37,51,750,51,750,15.75,11812.5,0
404,3/2021,3,3,7,37,143,2100,143,2100,14.7,30870,0
404,4/2019,4,1,7,37,10.2,150,9.4,150,13.72,2058,0.8
